"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"15495122";09903122467564;"RhumCannelle, Liqueur de rhum à la cannelle";"700";64;2025;11;3;
"15548669";00628308620661;"Kilinger";"700";527;2025;11;3;
"14399454";05604575003449;"Quinta do Encontro Preto Branco Reserva Bairrada";"750";32;2025;11;3;
"14991298";03518120001892;"Champagne Charles Mignon Premier Cru Brut";"750";6;2025;11;3;
"15291331";04902051331316;"Hakushika Snow Beauty";"720";45;2025;11;3;
"14471567";03258434190003;"Laur.-Perrier Blanc de Blancs Brut Nature";"750";21;2025;11;3;
"12732057";08412423126090;"Tres Picos Campo de Borja Bodegas Borsao";"750";687;2025;11;3;
"14810549";00627843748335;"Dist. du Fjord Km12 Concombre";"750";120;2025;11;3;
"14221488";03430560011760;"Tiger Horse Old Vines Cinsault Western Cape";"750";362;2025;11;3;
"471342";05281022441971;"Château Ksara Ksarak Arak";"750";242;2025;11;3;
"11456863";03245999354919;"Hennessy X.O.";"750";36;2025;11;3;
"10703412";00746925001189;"The Chocolate Block Swartland";"750";227;2025;11;3;
"15492415";00887341007079;"Campari";"375";27;2025;11;3;
"12791428";00721059707503;"Espolon Blanco";"750";12;2025;11;3;
"13515978";06278435295146;"Mariana Balzac Absinthe";"500";79;2025;11;3;
"14785970";03495795611192;"Theulot Juillot Mercurey Vieilles Vignes";"750";8;2025;11;3;
"14914081";03292060010687;"Laroche Chablis Premier Cru Les Vaudevey";"750";82;2025;11;3;
"14961902";03440747509690;"Patrick Piuze Non Dosé Méthode Traditionnelle";"750";244;2025;11;3;
"640177";03549920000297;"Château Nénine Côtes de Bordeaux";"750";41;2025;11;3;
"12829617";03760113408137;"Mas du Novi";"750";9;2025;11;3;
"14889648";00848819000336;"White Claw Caisse Mixte No.2 (12 x 355ML )";"355";1404;2025;11;3;
"15048015";03760035921516;"Domaine Le Pas Saint Martin Saumur La Pierre Frite";"750";238;2025;11;3;
"15111387";00839905000224;"Pollux Bourgueil";"750";33;2025;11;3;
"15256623";00600074346006;"Le Bourg des Cèdres Les Cageux";"750";17;2025;11;3;
"242669";08410023000031;"Fino Tio Pepe very dry Xérès";"750";36;2025;11;3;
"13638249";05200109000504;"Monemvasia Kydonitsa";"750";5;2025;11;3;
"15461686";04000154616863;"Jean-Luc Colombo Les Ruchets Cornas";"750";8;2025;11;3;
"11096888";00087752008157;"Ben Ami Cabernet-Sauvignon Galil";"750";62;2025;11;3;
"15400541";06009679751033;"Perdeberg The Vineyard Collection Grenache blanc";"750";195;2025;11;3;
"13758582";08014115000659;"Poli Vaca Mora Amaro";"700";18;2025;11;3;
"12690053";00057496007662;"Smoky Bay Cabernet Sauvignon Vin Rouge";"1000";12936;2025;11;3;
"12885168";00057496007976;"Smoky Bay vin rosé";"1000";1345;2025;11;3;
"15464975";09421905673525;"Invivo X Sarah Jessica Parker Pinot Noir";"750";1;2025;11;3;
"13771891";03760078971264;"Domaine Besson Petit Chablis";"750";18;2025;11;3;
"13906830";08032937270678;"Josetta Saffirio Barolo";"750";8;2025;11;3;
"12098025";03760234930081;"Domaine de la Taille aux Loups Bretonnière";"750";24;2025;11;3;
"10237554";03453320000026;"Saint-Bris Sauvignon Domaine Sorin de France";"750";118;2025;11;3;
"15238628";08003015712298;"Carpineto Rosso di Montepulciano";"750";492;2025;11;3;
"14955481";03770020801013;"Vincent Wengier Petit Chablis";"750";280;2025;11;3;
"884908";03760087610017;"Domaine La Tour Vieille Rimage Banyuls";"500";47;2025;11;3;
"15236542";03368887100013;"Domaine de Beaurenard Les Argiles Bleues";"750";8;2025;11;3;
"15429011";00721733000036;"Patron XO Café";"750";46;2025;11;3;
"12582247";03289810001163;"Les Chasseignes Domaine Fouassier Sancerre";"750";44;2025;11;3;
"15114342";00627843819158;"Distillerie Shefford La Coulée";"750";2;2025;11;3;
"897504";05604424102033;"Palha-Canas Vinho regional Lisboa";"750";52;2025;11;3;
"15489515";00850009098009;"Burrito Fiestero Artisanal Cenizo";"750";20;2025;11;3;
"15326628";03507921000210;"Chavet La Côte Rouge Menetou-Salon";"750";27;2025;11;3;
"12736891";08003015707416;"Carpineto Chianti Classico";"1500";1;2025;11;3;
"15511196";04970860880080;"Hatozaki Small Batch Pure Malt";"700";8;2025;11;3;
